date,open,high,low,close,volume,ROC,SMA,RSI,Real Upper Band,Real Middle Band,Real Lower Band
2023-07-26 09:00:00,337.687,340.683,337.665,339.583,391906.0,0.7163,337.4718,62.7629,339.3582,337.4718,335.5853
2023-07-26 09:15:00,339.623,341.282,339.292,340.701,343406.0,1.1976,337.6733,66.8824,339.9869,337.6733,335.3598
2023-07-26 09:30:00,340.721,343.946,336.388,339.262,7674721.0,1.0036,337.8419,58.1644,340.1021,337.8419,335.5817
2023-07-26 09:45:00,339.284,341.152,338.337,340.646,3224413.0,1.5363,338.0996,63.0416,340.4042,338.0996,335.795
2023-07-26 10:00:00,340.651,340.882,337.496,338.007,3011673.0,0.636,338.2064,51.0874,340.2737,338.2064,336.1391
2023-07-26 10:15:00,337.917,338.103,335.171,335.419,3471952.0,-0.4659,338.1279,42.7243,340.4745,338.1279,335.7813
2023-07-26 10:30:00,335.412,336.681,334.791,335.003,2790283.0,-0.6627,338.0161,41.5728,340.709,338.0161,335.3233
2023-07-26 10:45:00,335.048,335.993,333.225,333.386,3574579.0,-1.1803,337.817,37.4436,341.1781,337.817,334.456
2023-07-26 11:00:00,333.402,335.364,332.406,335.232,2626138.0,-0.7946,337.6828,44.1141,341.2266,337.6828,334.139
2023-07-26 11:15:00,335.238,336.172,334.502,336.101,1894520.0,-0.4257,337.6109,46.9188,341.2213,337.6109,334.0006
2023-07-26 11:30:00,336.081,336.741,335.576,336.27,1506211.0,-0.2811,337.5635,47.4586,341.2179,337.5635,333.9092
2023-07-26 11:45:00,336.27,336.557,335.45,336.24,1122012.0,-0.2989,337.5131,47.3686,341.211,337.5131,333.8153
2023-07-26 12:00:00,336.27,336.272,335.59,335.841,767620.0,-0.7492,337.3864,46.1434,341.1308,337.3864,333.642
2023-07-26 12:15:00,335.821,335.909,334.232,334.324,1320774.0,-1.1712,337.1883,41.8148,341.1351,337.1883,333.2415
2023-07-26 12:30:00,334.334,334.611,333.873,334.374,1024599.0,-1.066,337.0081,42.0036,341.12,337.0081,332.8963
2023-07-26 12:45:00,334.354,334.685,334.013,334.594,926677.0,-1.0826,336.825,42.8621,341.0235,336.825,332.6266
2023-07-26 13:00:00,334.584,335.025,334.462,334.854,1144030.0,-0.9416,336.6659,43.8952,340.9096,336.6659,332.4222
2023-07-26 13:15:00,334.853,334.855,333.953,334.404,896532.0,-1.0074,336.4957,42.4953,340.815,336.4957,332.1765
2023-07-26 13:30:00,334.406,334.546,333.953,334.005,779616.0,-1.1782,336.2966,41.267,340.6891,336.2966,331.9042
2023-07-26 13:45:00,334.015,334.526,333.793,334.225,825716.0,-1.0252,336.1235,42.2361,340.5559,336.1235,331.6912
